"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Add New Images","Add New Images"
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Yes,Yes
No,No
Manufacturer,Manufacturer
Vendor,Vendor
Remove,Remove
"Click here to download","Click here to download"
Qty,Qty
Price,Price
"Special Price","Special Price"
"Vendor Sku","Vendor Sku"
"Product Name","Product Name"
Quantity,Quantity
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"All Files","All Files"
"Root Catalog","Root Catalog"
"Bulk Images &amp; Price","Bulk Images &amp; Price"
"Edit Offer to %1","Edit Offer to %1"
"Add Offer to %1","Add Offer to %1"
"These data will be updated for all stores of current website.","These data will be updated for all stores of current website."
"Get Options","Get Options"
"Category data does not exist","Category data does not exist"
"Guidelines - Bulkimport","Guidelines - Bulkimport"
"Bulk Import","Bulk Import"
"Vendor Sku","Vendor Sku"
"Product Name","Product Name"
Price,Price
"Special Price","Special Price"
"Special From Date","Special From Date"
"Special To Date","Special To Date"
Quantity,Quantity
"My Listing","My Listing"
"Product saved successfully.","Product saved successfully."
"Product data not found","Product data not found"
"Please select product(s).","Please select product(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Product list successfully !","Product list successfully !"
"Product Unlist successfully !","Product Unlist successfully !"
"Product saved successfully","Product saved successfully"
"Product data not found.","Product data not found."
"This Product no longer exists.","This Product no longer exists."
"An edit request for this product is already exist. 
                        <a href=""%1""> Click here to edit existing request.</a>","An edit request for this product is already exist. 
                        <a href=""%1""> Click here to edit existing request.</a>"
"Select Category","Select Category"
"Sorry, Unauthorised action perform.","Sorry, Unauthorised action perform."
"No attribute set has added to selected category.","No attribute set has added to selected category."
"New Product Request","New Product Request"
"This Product Request no longer exists. ","This Product Request no longer exists. "
". ' ' .",". ' ' ."
"Your product changes are added successfully for approval.","Your product changes are added successfully for approval."
"An edit request for this product is already exist. <a href=""%1""> 
                    Click here to edit existing request.</a>","An edit request for this product is already exist. <a href=""%1""> 
                    Click here to edit existing request.</a>"
"Something went wrong while submitting approved product change request.","Something went wrong while submitting approved product change request."
"Please upload image as per mentioned dimensions.
                         i.e(%1px x %2px)","Please upload image as per mentioned dimensions.
                         i.e(%1px x %2px)"
"Please upload file from given types %1","Please upload file from given types %1"
"Select and Sell","Select and Sell"
"Product Attributes - Vital Info","Product Attributes - Vital Info"
"Commission Invoice","Commission Invoice"
"There are no printable documents related to selected payment.","There are no printable documents related to selected payment."
"Order No","Order No"
"Created Date","Created Date"
"Order Value","Order Value"
"Shipping Charges","Shipping Charges"
"Total Refunded","Total Refunded"
Commission,Commission
"Marketplace Fee","Marketplace Fee"
"Cancellation Fee","Cancellation Fee"
"Service Tax","Service Tax"
"Net Payable","Net Payable"
Status,Status
"Transaction Summary","Transaction Summary"
"Item Name","Item Name"
"label Level","label Level"
"% (Levied on commission and marketplace fee.)","% (Levied on commission and marketplace fee.)"
"Data Not Available","Data Not Available"
"Customer Registration and Login.","Customer Registration and Login."
"Forget and Reset Password","Forget and Reset Password"
"My Account","My Account"
"Select and Buy","Select and Buy"
"Product Ratings and Reviews","Product Ratings and Reviews"
"Mega Menu","Mega Menu"
"Ajax Cart","Ajax Cart"
"Shopping Cart","Shopping Cart"
"Checkout Process","Checkout Process"
"Vendor Ratings and Reviews","Vendor Ratings and Reviews"
"Vendor On-boarding Process","Vendor On-boarding Process"
"Dashboard and Profile","Dashboard and Profile"
"Catalog Management","Catalog Management"
"Order Management","Order Management"
"Financial Management","Financial Management"
"Shipping Method","Shipping Method"
"Rating and Review","Rating and Review"
Frontend,Frontend
Vendor,Vendor
"No record found.","No record found."
Period,Period
"Marketplace Sku","Marketplace Sku"
"Product Name","Product Name"
"Vendor Sku","Vendor Sku"
Price,Price
"Quantity Ordered","Quantity Ordered"
"Number Of Views","Number Of Views"
"Stock Quantity","Stock Quantity"
"Vendor SKU","Vendor SKU"
"No. Of Orders","No. Of Orders"
"Date From -","Date From -"
"Date To -","Date To -"
"Advanced Reporting | Products","Advanced Reporting | Products"
"Seller Order ID","Seller Order ID"
"Order Item ID","Order Item ID"
"Product Title/Description","Product Title/Description"
"Seller SKU","Seller SKU"
"Order Type","Order Type"
"Order Date","Order Date"
"Order Approval Date","Order Approval Date"
"Item Quantity","Item Quantity"
"Order Shipped From (State)","Order Shipped From (State)"
"Price Before Discount","Price Before Discount"
"Total Discount Seller Share","Total Discount Seller Share"
"Bank Offer Share","Bank Offer Share"
"Price After Discount","Price After Discount"
"Shipping Charges","Shipping Charges"
"Final Invoice Amount (Price after discount+Shipping Charges)","Final Invoice Amount (Price after discount+Shipping Charges)"
"Type Of Tax","Type Of Tax"
"Taxable Value (Final Invoice Amount -Taxes)","Taxable Value (Final Invoice Amount -Taxes)"
"VAT Rate","VAT Rate"
"VAT Amount","VAT Amount"
"Buyer Invoice ID","Buyer Invoice ID"
"Buyer Invoice Date","Buyer Invoice Date"
"Buyer Invoice Amount","Buyer Invoice Amount"
"Customer Name (Bill To)","Customer Name (Bill To)"
"Customer's Billing Address","Customer's Billing Address"
"Customer's Billing Pincode","Customer's Billing Pincode"
"Customer's Billing State","Customer's Billing State"
"Customer Name (Ship To)","Customer Name (Ship To)"
"Customer's Delivery Address","Customer's Delivery Address"
